Rs,u2,Tmax,Tmin,RH,pr,ETo
20.5,0.6,31.7,24.0,85.1,0.7,4.2
16.9,0.6,29.9,23.6,88.9,0.1,3.4
22.8,0.3,31.9,22.9,84.6,15.9,4.5
23.0,0.1,32.1,23.2,83.4,9.6,4.5
13.8,0.3,29.3,24.0,88.2,7.1,2.9
16.5,0.1,31.2,23.8,85.8,4.0,3.4
23.6,1.6,31.9,25.0,79.8,7.6,5.0
22.8,0.2,32.2,23.5,82.3,0.3,4.5
21.7,0.2,32.8,24.2,81.9,0.5,4.4
18.3,1.5,32.4,24.0,84.8,0.5,4.0
24.0,1.5,31.7,24.8,80.6,1.4,5.0
23.4,2.0,31.5,23.8,79.7,0.2,4.9
23.4,2.2,32.1,22.2,80.3,1.4,5.0
22.9,0.3,32.2,22.2,80.8,0.0,4.5
22.3,1.3,32.6,24.0,82.4,1.1,4.7
21.5,0.9,32.2,24.2,82.8,0.0,4.5
21.4,2.2,32.1,24.2,84.5,0.1,4.6
18.2,1.0,32.4,24.0,84.6,2.6,3.9
23.6,0.4,33.1,24.2,82.4,2.2,4.8
18.1,0.6,31.9,23.2,84.5,19.7,3.8
22.5,0.1,32.2,23.9,79.9,10.1,4.5
23.6,0.1,33.4,24.6,80.2,0.0,4.8
22.9,0.1,33.1,24.0,81.8,0.5,4.7
20.8,2.0,32.4,25.0,82.4,0.3,4.6
22.9,1.1,32.8,25.7,80.6,2.2,4.9
21.8,2.0,32.8,25.0,78.8,0.6,4.9
23.7,3.2,32.7,25.2,77.8,1.9,5.5
19.3,2.7,32.2,25.4,77.8,0.0,4.7
24.3,2.0,32.1,26.2,78.3,0.8,5.3
23.9,1.8,32.7,24.4,78.2,0.0,5.2
24.3,0.6,33.3,23.7,78.9,0.0,5.0
23.1,0.4,33.8,23.5,80.7,0.0,4.8
24.9,1.6,32.2,23.6,78.4,4.3,5.2
23.0,3.2,32.2,24.8,80.1,0.0,5.2
21.3,0.6,32.8,24.3,81.4,0.1,4.5
24.2,0.6,33.1,25.6,77.5,0.0,5.1
23.9,0.8,33.2,23.8,78.7,0.9,5.0
23.9,1.1,34.0,25.6,77.9,0.0,5.2
20.5,2.0,33.4,25.3,80.6,1.3,4.7
23.9,3.1,32.8,25.0,75.4,0.0,5.7
24.7,1.3,33.8,23.6,75.5,1.3,5.4
24.6,1.7,33.7,23.6,76.4,1.7,5.4
22.6,1.8,33.7,24.5,78.9,1.6,5.1
24.5,1.5,34.0,25.8,78.4,0.0,5.5
22.2,1.5,33.2,25.4,79.3,0.0,5.0
24.8,2.0,33.4,24.3,75.9,0.0,5.6
24.6,1.8,33.8,23.5,75.7,0.0,5.5
22.3,1.8,32.7,24.2,78.9,0.0,4.9
23.7,1.6,32.4,24.2,79.3,3.8,5.1
24.7,1.6,33.0,24.2,78.1,1.5,5.3
24.3,0.4,33.4,24.1,78.7,1.7,5.0
18.8,1.1,32.1,25.0,85.9,0.3,4.1
23.9,1.7,33.2,25.8,81.8,0.2,5.3
23.6,1.8,33.4,25.3,82.1,0.0,5.2
24.9,2.0,33.8,24.6,79.2,1.7,5.5
24.2,2.2,34.0,25.6,78.3,3.6,5.6
24.9,1.6,33.4,24.8,77.4,1.8,5.5
23.5,1.3,33.9,24.8,79.9,2.7,5.2
16.3,0.6,32.1,23.3,84.8,5.0,3.5
23.3,1.1,32.2,23.0,80.9,39.2,4.9
20.6,1.8,32.8,25.6,80.8,3.8,4.7
20.9,2.2,32.2,24.1,79.9,0.1,4.8
19.4,0.9,32.8,24.3,79.5,2.1,4.3
23.6,1.1,33.0,21.3,80.5,0.0,4.9
20.7,1.8,31.8,24.0,81.1,9.3,4.6
22.7,1.5,32.8,24.6,81.6,2.5,4.9
24.0,1.6,33.2,24.4,77.9,0.0,5.3
23.4,1.7,32.8,24.4,77.8,0.0,5.2
22.1,2.3,33.0,24.4,77.2,3.2,5.1
24.6,2.0,34.8,24.0,75.7,0.0,5.7
23.6,1.8,33.1,24.5,73.2,0.0,5.4
23.3,1.1,33.0,24.0,74.6,0.0,5.0
24.5,2.2,32.8,24.5,74.5,0.0,5.6
23.5,1.6,32.8,24.4,75.9,0.0,5.2
20.5,0.8,33.8,24.0,80.0,0.0,4.5
20.0,1.5,32.6,24.6,80.0,2.2,4.5
21.7,2.0,33.0,25.0,78.6,0.8,5.0
24.1,1.8,33.0,24.8,74.9,0.0,5.4
20.6,1.1,33.2,24.5,76.7,0.0,4.6
23.0,2.0,33.1,24.6,78.0,0.0,5.2
22.8,1.5,34.0,24.6,80.6,0.0,5.1
22.8,2.0,33.7,26.0,76.7,0.0,5.3
23.8,2.0,33.1,25.6,78.5,0.0,5.4
22.0,2.3,33.2,25.0,77.0,0.3,5.2
24.9,1.3,33.4,25.0,74.6,0.2,5.5
25.2,1.8,33.8,25.2,75.3,0.0,5.7
23.4,2.0,33.2,25.0,75.2,0.0,5.4
24.5,2.2,33.1,25.6,75.3,0.0,5.6
23.8,0.9,33.4,25.0,75.2,0.0,5.1
23.9,1.6,32.8,25.2,74.7,0.0,5.3
23.5,2.0,33.7,24.7,75.4,0.2,5.4
23.4,1.3,33.2,25.4,77.2,0.0,5.2
24.1,1.6,33.2,25.8,77.8,0.2,5.3
23.1,1.5,33.8,25.2,75.9,0.0,5.2
23.6,2.0,33.8,24.7,75.2,0.0,5.5
22.4,1.3,33.2,25.6,73.5,0.0,5.0
24.1,2.0,33.8,23.9,75.6,0.0,5.5
23.7,1.3,33.8,24.7,76.5,0.0,5.2
24.0,1.4,33.7,24.5,76.3,0.0,5.3
18.1,0.4,33.2,24.5,75.9,0.0,3.9
21.9,2.0,33.5,24.5,74.1,0.3,5.2
21.8,0.9,34.1,25.2,76.9,0.5,4.8
20.9,1.1,33.1,24.8,78.5,3.6,4.6
22.1,1.1,32.9,25.0,77.9,2.0,4.8
11.8,1.5,30.1,24.4,86.2,4.7,2.8
22.1,0.1,31.7,25.2,78.1,20.0,4.5
