Date,open,high,low,close,AVG
2016-12-01,1.2511,1.2692,1.2507,1.2511,1.255525
2016-12-02,1.2592,1.2712,1.2568,1.2592,1.2616
2016-12-04,1.2641,1.2683,1.2629,1.2655,1.2652
2016-12-05,1.2628,1.2743,1.2628,1.2628,1.2656749999999999
2016-12-06,1.2729,1.2771,1.2659,1.2729,1.2722
2016-12-07,1.2678,1.2681,1.257,1.2678,1.265175
2016-12-08,1.2625,1.27,1.255,1.2625,1.2625
2016-12-09,1.2575,1.2619,1.2551,1.2575,1.258
2016-12-11,1.2591,1.2594,1.2578,1.2585,1.2587000000000002
2016-12-12,1.2592,1.2698,1.2566,1.2592,1.2612
2016-12-13,1.2679,1.2725,1.2652,1.2679,1.268375
2016-12-14,1.2657,1.2721,1.2529,1.2657,1.2641
2016-12-15,1.2538,1.2562,1.2377,1.2538,1.250375
2016-12-16,1.2421,1.2505,1.2384,1.2421,1.2432750000000001
2016-12-18,1.2483,1.2489,1.2477,1.2484,1.248325
2016-12-19,1.2484,1.2499,1.2354,1.2484,1.245525
2016-12-20,1.2389,1.2406,1.2314,1.2389,1.23745
2016-12-21,1.2367,1.2388,1.2324,1.2367,1.2361499999999999
2016-12-22,1.2351,1.2376,1.2275,1.2351,1.233825
2016-12-23,1.2284,1.2296,1.2229,1.2284,1.227325
2016-12-26,1.2288,1.2292,1.2265,1.2285,1.22825
2016-12-27,1.2274,1.2285,1.2239,1.2274,1.2268
2016-12-28,1.2269,1.2294,1.2199,1.2269,1.225775
2016-12-29,1.222,1.2272,1.2211,1.222,1.223075
2016-12-30,1.2256,1.2382,1.2245,1.2256,1.228475
2017-01-02,1.2341,1.2345,1.2272,1.2342,1.2325
2017-01-03,1.2278,1.2305,1.2201,1.2278,1.22655
2017-01-04,1.2238,1.2351,1.222,1.2238,1.226175
2017-01-05,1.2319,1.2428,1.227,1.2319,1.2334
2017-01-06,1.2414,1.2427,1.226,1.2414,1.237875
2017-01-08,1.2253,1.2259,1.2251,1.2256,1.225475
2017-01-09,1.2254,1.2269,1.2125,1.2254,1.22255
2017-01-10,1.2172,1.2183,1.211,1.2172,1.2159250000000001
2017-01-11,1.2172,1.2267,1.2048,1.2172,1.216475
2017-01-12,1.2203,1.2313,1.2151,1.2203,1.2217500000000001
